time_ms,v,w,left_wheel,right_wheel
32,0.8,-0.0945542,0.894554,0.705446
81,0.8,-0.0938975,0.893897,0.706103
131,0.8,-0.0932371,0.893237,0.706763
181,0.8,-0.0925754,0.892575,0.707425
231,0.8,-0.0919125,0.891912,0.708088
282,0.8,-0.0912485,0.891248,0.708752
331,0.8,-0.0905834,0.890583,0.709417
382,0.8,-0.0899175,0.889917,0.710083
432,0.8,-0.0892506,0.889251,0.710749
481,0.8,-0.0885831,0.888583,0.711417
531,0.8,-0.0879148,0.887915,0.712085
581,0.8,-0.0872459,0.887246,0.712754
631,0.8,-0.0865765,0.886577,0.713423
681,0.8,-0.0859067,0.885907,0.714093
731,0.8,-0.0852365,0.885237,0.714763
781,0.8,-0.0845661,0.884566,0.715434
831,0.8,-0.0838954,0.883895,0.716105
881,0.8,-0.0832246,0.883225,0.716775
931,0.8,-0.0825539,0.882554,0.717446
981,0.8,-0.0818832,0.881883,0.718117
1031,0.8,-0.0812125,0.881213,0.718787
1081,0.8,-0.0819839,0.881984,0.718016
1131,0.8,-0.0814194,0.881419,0.718581
1181,0.8,-0.0808366,0.880837,0.719163
1231,0.8,-0.0802528,0.880253,0.719747
1282,0.8,-0.0796706,0.879671,0.720329
1331,0.8,-0.0790892,0.879089,0.720911
1381,0.8,-0.078507,0.878507,0.721493
1431,0.8,-0.07793,0.87793,0.72207
1481,0.8,-0.0773529,0.877353,0.722647
1531,0.8,-0.0767778,0.876778,0.723222
1583,0.8,-0.0762098,0.87621,0.72379
1633,0.8,-0.0756411,0.875641,0.724359
1681,0.8,-0.0750824,0.875082,0.724918
1731,0.8,-0.074528,0.874528,0.725472
1781,0.8,-0.0739776,0.873978,0.726022
1831,0.8,-0.0734444,0.873444,0.726556
1881,0.8,-0.0729104,0.87291,0.72709
1932,0.8,-0.0724018,0.872402,0.727598
1981,0.8,-0.0718971,0.871897,0.728103
2031,0.8,-0.0714155,0.871415,0.728585
2081,0.8,-0.0709489,0.870949,0.729051
2131,0.8,-0.141166,0.941166,0.658834
2181,0.8,-0.140703,0.940703,0.659297
2231,0.8,-0.140232,0.940232,0.659768
2281,0.8,-0.139753,0.939753,0.660247
2331,0.8,-0.139265,0.939265,0.660735
2381,0.8,-0.138769,0.938769,0.661231
2431,0.8,-0.138265,0.938265,0.661735
2481,0.8,-0.137753,0.937753,0.662247
2531,0.8,-0.137234,0.937234,0.662766
2581,0.8,-0.136707,0.936707,0.663293
2631,0.8,-0.136173,0.936173,0.663827
2681,0.8,-0.135632,0.935632,0.664368
2731,0.8,-0.135084,0.935084,0.664916
2781,0.8,-0.13453,0.93453,0.66547
2831,0.8,-0.133968,0.933968,0.666032
2881,0.8,-0.1334,0.9334,0.6666
2931,0.8,-0.132826,0.932826,0.667174
2982,0.8,-0.132245,0.932245,0.667755
3031,0.8,-0.131658,0.931658,0.668342
3081,0.8,-0.131065,0.931065,0.668935
3133,0.8,-0.0254107,0.825411,0.774589
3181,0.8,-0.0257718,0.825772,0.774228
3232,0.8,-0.0261336,0.826134,0.773866
3281,0.8,-0.0265549,0.826555,0.773445
3331,0.8,-0.0269873,0.826987,0.773013
3382,0.8,-0.0274725,0.827473,0.772527
3432,0.8,-0.0279828,0.827983,0.772017
3483,0.8,-0.028522,0.828522,0.771478
3532,0.8,-0.0291097,0.82911,0.77089
3582,0.8,-0.0297086,0.829709,0.770291
3632,0.8,-0.0303655,0.830365,0.769635
3682,0.8,-0.0310415,0.831041,0.768959
3732,0.8,-0.0317476,0.831748,0.768252
3782,0.8,-0.0325005,0.832501,0.767499
3832,0.8,-0.033265,0.833265,0.766735
3884,0.8,-0.0340834,0.834083,0.765917
3932,0.8,-0.0349248,0.834925,0.765075
3981,0.8,-0.0357875,0.835787,0.764213
4032,0.8,-0.0367052,0.836705,0.763295
4081,0.8,-0.0376348,0.837635,0.762365
4132,0.8,-0.038602,0.838602,0.761398
4183,0.8,0.00299996,0.797,0.803
4231,0.8,0.00195885,0.798041,0.801959
4281,0.8,0.000896185,0.799104,0.800896
4332,0.8,-0.000225484,0.800225,0.799775
4381,0.8,-0.00136091,0.801361,0.798639
4432,0.8,-0.00253855,0.802539,0.797461
4483,0.8,-0.00375599,0.803756,0.796244
4532,0.8,-0.00498835,0.804988,0.795012
4582,0.8,-0.00627941,0.806279,0.793721
4631,0.8,-0.00759568,0.807596,0.792404
4682,0.8,-0.0089297,0.80893,0.79107
4732,0.8,-0.010331,0.810331,0.789669
4783,0.8,-0.0117498,0.81175,0.78825
4832,0.8,-0.0131925,0.813192,0.786808
4882,0.8,-0.0146984,0.814698,0.785302
4931,0.8,-0.0162234,0.816223,0.783777
4981,0.8,-0.0177711,0.817771,0.782229
5031,0.8,-0.0193843,0.819384,0.780616
5082,0.8,-0.0210173,0.821017,0.778983
5132,0.8,-0.0226706,0.822671,0.777329
5182,0.8,-0.0999526,0.899953,0.700047
5231,0.8,-0.100151,0.900151,0.699849
5281,0.8,-0.100332,0.900332,0.699668
5331,0.8,-0.100497,0.900497,0.699503
5381,0.8,-0.100645,0.900645,0.699355
5431,0.8,-0.100777,0.900777,0.699223
5481,0.8,-0.100894,0.900894,0.699106
5532,0.8,-0.100996,0.900996,0.699004
5581,0.8,-0.101083,0.901083,0.698917
5631,0.8,-0.101155,0.901155,0.698845
5681,0.8,-0.101213,0.901213,0.698787
5731,0.8,-0.101256,0.901256,0.698744
5781,0.8,-0.101286,0.901286,0.698714
5832,0.8,-0.101303,0.901303,0.698697
5881,0.8,-0.101306,0.901306,0.698694
5934,0.8,-0.101296,0.901296,0.698704
5982,0.8,-0.101273,0.901273,0.698727
6032,0.8,-0.101238,0.901238,0.698762
6082,0.8,-0.101191,0.901191,0.698809
6131,0.8,-0.101132,0.901132,0.698868
6181,0.8,-0.101061,0.901061,0.698939
6231,0.8,-0.103698,0.903698,0.696302
6282,0.8,-0.103541,0.903541,0.696459
6331,0.8,-0.103374,0.903374,0.696626
6381,0.8,-0.103197,0.903197,0.696803
6432,0.8,-0.10301,0.90301,0.69699
6481,0.8,-0.102814,0.902814,0.697186
6531,0.8,-0.102608,0.902608,0.697392
6581,0.8,-0.102393,0.902393,0.697607
6631,0.8,-0.102169,0.902169,0.697831
6681,0.8,-0.101936,0.901936,0.698064
6731,0.8,-0.101695,0.901695,0.698305
6781,0.8,-0.101445,0.901445,0.698555
6831,0.8,-0.101186,0.901186,0.698814
6881,0.8,-0.10092,0.90092,0.69908
6931,0.8,-0.100645,0.900645,0.699355
6981,0.8,-0.100363,0.900363,0.699637
7031,0.8,-0.100073,0.900073,0.699927
7082,0.8,-0.0997759,0.899776,0.700224
7132,0.8,-0.0994712,0.899471,0.700529
7181,0.8,-0.0991593,0.899159,0.700841
7231,0.8,-0.0988404,0.89884,0.70116
7281,0.8,-0.105425,0.905425,0.694575
7331,0.8,-0.104933,0.904933,0.695067
7381,0.8,-0.104436,0.904436,0.695564
7431,0.8,-0.103934,0.903934,0.696066
7481,0.8,-0.103427,0.903427,0.696573
7531,0.8,-0.102917,0.902917,0.697083
7581,0.8,-0.102401,0.902401,0.697599
7631,0.8,-0.101882,0.901882,0.698118
7681,0.8,-0.101358,0.901358,0.698642
7731,0.8,-0.100831,0.900831,0.699169
7781,0.8,-0.100299,0.900299,0.699701
7832,0.8,-0.0997637,0.899764,0.700236
7881,0.8,-0.0992246,0.899225,0.700775
7931,0.8,-0.098682,0.898682,0.701318
7982,0.8,-0.0981359,0.898136,0.701864
8031,0.8,-0.0975979,0.897598,0.702402
8082,0.8,-0.0970616,0.897062,0.702938
8132,0.8,-0.0965486,0.896549,0.703451
8181,0.8,-0.0960375,0.896038,0.703962
8231,0.8,-0.0955314,0.895531,0.704469
8282,0.8,-0.0999641,0.899964,0.700036
8332,0.8,-0.0992732,0.899273,0.700727
8381,0.8,-0.0985808,0.898581,0.701419
8432,0.8,-0.0978869,0.897887,0.702113
8481,0.8,-0.0971917,0.897192,0.702808
8531,0.8,-0.0964953,0.896495,0.703505
8581,0.8,-0.0957977,0.895798,0.704202
8631,0.8,-0.0950991,0.895099,0.704901
8681,0.8,-0.0943995,0.894399,0.705601
8731,0.8,-0.0936989,0.893699,0.706301
8781,0.8,-0.0929976,0.892998,0.707002
8831,0.8,-0.0922956,0.892296,0.707704
8881,0.8,-0.0915929,0.891593,0.708407
8932,0.8,-0.0908896,0.89089,0.70911
8983,0.8,-0.090186,0.890186,0.709814
9031,0.8,-0.0894819,0.889482,0.710518
9081,0.8,-0.0887775,0.888778,0.711222
9131,0.8,-0.088073,0.888073,0.711927
9181,0.8,-0.0873682,0.887368,0.712632
9231,0.8,-0.0866635,0.886663,0.713337
9281,0.8,-0.0859587,0.885959,0.714041
9332,0.8,-0.0806293,0.880629,0.719371
9381,0.8,-0.0800466,0.880047,0.719953
9431,0.8,-0.079463,0.879463,0.720537
9481,0.8,-0.0788785,0.878878,0.721122
9531,0.8,-0.0782933,0.878293,0.721707
9581,0.8,-0.0777074,0.877707,0.722293
9631,0.8,-0.0771209,0.877121,0.722879
9681,0.8,-0.0765338,0.876534,0.723466
9731,0.8,-0.0759463,0.875946,0.724054
9781,0.8,-0.0753585,0.875358,0.724642
9831,0.8,-0.0747703,0.87477,0.72523
9881,0.8,-0.0741819,0.874182,0.725818
9931,0.8,-0.0735933,0.873593,0.726407
9981,0.8,-0.0730047,0.873005,0.726995
10031,0.8,-0.072416,0.872416,0.727584
10081,0.8,-0.0718273,0.871827,0.728173
10131,0.8,-0.0712388,0.871239,0.728761
10181,0.8,-0.0706505,0.87065,0.72935
10231,0.8,-0.0700623,0.870062,0.729938
10281,0.8,-0.0694745,0.869474,0.730526
10331,0.8,-0.0658099,0.86581,0.73419
10381,0.8,-0.065317,0.865317,0.734683
10431,0.8,-0.0648236,0.864824,0.735176
10481,0.8,-0.0643299,0.86433,0.73567
10531,0.8,-0.0638357,0.863836,0.736164
10581,0.8,-0.0633412,0.863341,0.736659
10631,0.8,-0.0628465,0.862846,0.737154
10681,0.8,-0.0623515,0.862352,0.737648
10731,0.8,-0.0618565,0.861856,0.738144
10781,0.8,-0.0613613,0.861361,0.738639
10831,0.8,-0.0608662,0.860866,0.739134
10881,0.8,-0.0603711,0.860371,0.739629
10931,0.8,-0.0598761,0.859876,0.740124
10981,0.8,-0.0593813,0.859381,0.740619
11031,0.8,-0.0588868,0.858887,0.741113
11081,0.8,-0.0583925,0.858392,0.741608
11131,0.8,-0.0578986,0.857899,0.742101
11181,0.8,-0.057405,0.857405,0.742595
11231,0.8,-0.0569119,0.856912,0.743088
11281,0.8,-0.0564192,0.856419,0.743581
11331,0.8,-0.0559271,0.855927,0.744073
11381,0.8,-0.0530087,0.853009,0.746991
11431,0.8,-0.0526127,0.852613,0.747387
11481,0.8,-0.0522162,0.852216,0.747784
11531,0.8,-0.0518194,0.851819,0.748181
11581,0.8,-0.0514223,0.851422,0.748578
11631,0.8,-0.0510249,0.851025,0.748975
11681,0.8,-0.0506272,0.850627,0.749373
11731,0.8,-0.0502294,0.850229,0.749771
11781,0.8,-0.0498316,0.849832,0.750168
11831,0.8,-0.0494336,0.849434,0.750566
11881,0.8,-0.0490356,0.849036,0.750964
11931,0.8,-0.0486377,0.848638,0.751362
11981,0.8,-0.0482398,0.84824,0.75176
12031,0.8,-0.0478421,0.847842,0.752158
12081,0.8,-0.0474446,0.847445,0.752555
12132,0.8,-0.0470473,0.847047,0.752953
12181,0.8,-0.0466502,0.84665,0.75335
12231,0.8,-0.0462534,0.846253,0.753747
12281,0.8,-0.045857,0.845857,0.754143
12331,0.8,-0.0454611,0.845461,0.754539
