time_ms,v,w,left_wheel,right_wheel
71,-0.8,0.0698457,-0.869846,-0.730154
121,-0.8,0.0698892,-0.869889,-0.730111
171,-0.8,0.069935,-0.869935,-0.730065
221,-0.8,0.0699833,-0.869983,-0.730017
271,-0.8,0.0700343,-0.870034,-0.729966
321,-0.8,0.0700882,-0.870088,-0.729912
371,-0.8,0.0701454,-0.870145,-0.729855
421,-0.8,0.070206,-0.870206,-0.729794
471,-0.8,0.0702705,-0.87027,-0.72973
521,-0.8,0.0703391,-0.870339,-0.729661
571,-0.8,0.0704123,-0.870412,-0.729588
621,-0.8,0.0704907,-0.870491,-0.729509
671,-0.8,0.0705746,-0.870575,-0.729425
721,-0.8,0.0706649,-0.870665,-0.729335
771,-0.8,0.0707621,-0.870762,-0.729238
821,-0.8,0.0708671,-0.870867,-0.729133
871,-0.8,0.0709809,-0.870981,-0.729019
921,-0.8,0.0711047,-0.871105,-0.728895
971,-0.8,0.0712398,-0.87124,-0.72876
1021,-0.8,0.0713878,-0.871388,-0.728612
1071,-0.8,0.0715506,-0.871551,-0.728449
1121,0.8,0.284206,0.515794,1.08421
1171,0.8,0.284104,0.515896,1.0841
1221,0.8,0.283978,0.516022,1.08398
1271,0.8,0.283828,0.516172,1.08383
1321,0.8,0.283655,0.516345,1.08365
1371,0.8,0.283459,0.516541,1.08346
1421,0.8,0.283244,0.516756,1.08324
1471,0.8,0.283008,0.516992,1.08301
1521,0.8,0.282753,0.517247,1.08275
1571,0.8,0.28248,0.51752,1.08248
1621,0.8,0.282189,0.517811,1.08219
1671,0.8,0.281882,0.518118,1.08188
1721,0.8,0.281557,0.518443,1.08156
1771,0.8,0.281217,0.518783,1.08122
1821,0.8,0.280862,0.519138,1.08086
1871,0.8,0.28049,0.51951,1.08049
1921,0.8,0.280105,0.519895,1.0801
1971,0.8,0.279703,0.520297,1.0797
2021,0.8,0.279287,0.520713,1.07929
2071,0.8,0.278858,0.521142,1.07886
2121,0.8,0.278412,0.521588,1.07841
2171,0.8,0.333296,0.466704,1.1333
2221,0.8,0.3339,0.4661,1.1339
2271,0.8,0.334566,0.465434,1.13457
2321,0.8,0.335303,0.464697,1.1353
2371,0.8,0.336123,0.463877,1.13612
2421,0.8,0.337038,0.462962,1.13704
2471,0.8,0.338067,0.461933,1.13807
2521,0.8,0.339231,0.460769,1.13923
2571,0.8,0.340557,0.459443,1.14056
2621,0.8,0.34208,0.45792,1.14208
2671,0.8,0.343847,0.456153,1.14385
2721,0.8,0.345919,0.454081,1.14592
2771,0.8,0.348381,0.451619,1.14838
2821,0.8,0.351352,0.448648,1.15135
2871,0.8,0.355003,0.444997,1.155
2921,0.8,0.359595,0.440405,1.1596
2971,0.8,0.365537,0.434463,1.16554
3021,0.8,0.373516,0.426484,1.17352
3071,0.8,0.384771,0.415229,1.18477
3121,0.8,0.401791,0.398209,1.20179
3171,0.8,0.267524,0.532476,1.06752
3221,0.8,0.259083,0.540917,1.05908
3271,0.8,0.258175,0.541825,1.05818
3321,0.8,0.257245,0.542755,1.05724
3371,0.8,0.256306,0.543694,1.05631
3421,0.8,0.255344,0.544656,1.05534
3471,0.8,0.254363,0.545637,1.05436
3521,0.8,0.253374,0.546626,1.05337
3571,0.8,0.252356,0.547644,1.05236
3621,0.8,0.251324,0.548676,1.05132
3671,0.8,0.250283,0.549717,1.05028
3721,0.8,0.249208,0.550792,1.04921
3771,0.8,0.248123,0.551877,1.04812
3821,0.8,0.247025,0.552975,1.04702
3871,0.8,0.245894,0.554106,1.04589
3921,0.8,0.244756,0.555244,1.04476
3971,0.8,0.243596,0.556404,1.0436
4021,0.8,0.242411,0.557589,1.04241
4071,0.8,0.241217,0.558783,1.04122
4121,0.8,0.239993,0.560007,1.03999
4171,0.8,0.238752,0.561248,1.03875
4221,0.8,0.238614,0.561386,1.03861
4271,0.8,0.237323,0.562677,1.03732
4321,0.8,0.236023,0.563977,1.03602
4371,0.8,0.234686,0.565314,1.03469
4421,0.8,0.233336,0.566664,1.03334
4471,0.8,0.231968,0.568032,1.03197
4521,0.8,0.230566,0.569434,1.03057
4571,0.8,0.229155,0.570845,1.02915
4621,0.8,0.22771,0.57229,1.02771
4671,0.8,0.226245,0.573755,1.02624
4721,0.8,0.224763,0.575237,1.02476
4771,0.8,0.223243,0.576757,1.02324
4821,0.8,0.221714,0.578286,1.02171
4871,0.8,0.220145,0.579855,1.02015
4921,0.8,0.218559,0.581441,1.01856
4971,0.8,0.216947,0.583053,1.01695
5021,0.8,0.215301,0.584699,1.0153
5071,0.8,0.213644,0.586356,1.01364
5121,0.8,0.211937,0.588063,1.01194
5171,0.8,0.210221,0.589779,1.01022
5221,0.8,0.20846,0.59154,1.00846
5271,0.8,0.19995,0.60005,0.99995
5321,0.8,0.198207,0.601793,0.998207
5371,0.8,0.196435,0.603565,0.996435
5421,0.8,0.194629,0.605371,0.994629
5471,0.8,0.192798,0.607202,0.992798
5521,0.8,0.190926,0.609074,0.990926
5571,0.8,0.189034,0.610966,0.989034
5621,0.8,0.187094,0.612906,0.987094
5671,0.8,0.185135,0.614865,0.985135
5721,0.8,0.183126,0.616874,0.983126
5771,0.8,0.181096,0.618904,0.981096
5821,0.8,0.179015,0.620985,0.979015
5871,0.8,0.176907,0.623093,0.976907
5921,0.8,0.174753,0.625247,0.974753
5971,0.8,0.172563,0.627437,0.972563
6021,0.8,0.170333,0.629667,0.970333
6071,0.8,0.168053,0.631947,0.968053
6121,0.8,0.165746,0.634254,0.965746
6171,0.8,0.163371,0.636629,0.963371
6221,0.8,0.160973,0.639027,0.960973
6271,0.8,0.149115,0.650885,0.949115
6321,0.8,0.146809,0.653191,0.946809
6371,0.8,0.144454,0.655546,0.944454
6421,0.8,0.142074,0.657926,0.942074
6471,0.8,0.139615,0.660385,0.939615
6521,0.8,0.137127,0.662873,0.937127
6571,0.8,0.13459,0.66541,0.93459
6621,0.8,0.131987,0.668013,0.931987
6671,0.8,0.129348,0.670652,0.929348
6721,0.8,0.126646,0.673354,0.926646
6771,0.8,0.123877,0.676123,0.923877
6821,0.8,0.121064,0.678936,0.921064
6871,0.8,0.118189,0.681811,0.918189
6921,0.8,0.11523,0.68477,0.91523
6971,0.8,0.112217,0.687783,0.912217
7021,0.8,0.109145,0.690855,0.909145
7070,0.8,0.105987,0.694013,0.905987
7121,0.8,0.102744,0.697256,0.902744
7171,0.8,0.0994298,0.70057,0.89943
7221,0.8,0.0960381,0.703962,0.896038
7271,0.8,0.0925634,0.707437,0.892563
7321,0.8,0.0808439,0.719156,0.880844
7371,0.8,0.0779033,0.722097,0.877903
7421,0.8,0.0748842,0.725116,0.874884
7471,0.8,0.071805,0.728195,0.871805
7520,0.8,0.0686616,0.731338,0.868662
7570,0.8,0.0654496,0.73455,0.86545
7621,0.8,0.0621469,0.737853,0.862147
7670,0.8,0.0587539,0.741246,0.858754
7721,0.8,0.0552795,0.74472,0.85528
7771,0.8,0.0517179,0.748282,0.851718
7821,0.8,0.0480632,0.751937,0.848063
7871,0.8,0.045856,0.754144,0.845856
7920,0.8,0.0458588,0.754141,0.845859
7971,0.8,0.0458618,0.754138,0.845862
8021,0.8,0.0458647,0.754135,0.845865
8071,0.8,0.0458678,0.754132,0.845868
8121,0.8,0.0458709,0.754129,0.845871
8170,0.8,0.045874,0.754126,0.845874
8220,0.8,0.0458772,0.754123,0.845877
8271,0.8,0.0458804,0.75412,0.84588
8321,0.8,0.0317452,0.768255,0.831745
8371,0.8,0.0317474,0.768253,0.831747
8421,0.8,0.0317496,0.76825,0.83175
8470,0.8,0.031752,0.768248,0.831752
8521,0.8,0.0317543,0.768246,0.831754
8571,0.8,0.0317567,0.768243,0.831757
8621,0.8,0.0317591,0.768241,0.831759
8670,0.8,0.0317616,0.768238,0.831762
8720,0.8,0.0317641,0.768236,0.831764
8770,0.8,0.0317667,0.768233,0.831767
8821,0.8,0.0317693,0.768231,0.831769
8871,0.8,0.031772,0.768228,0.831772
8921,0.8,0.0317747,0.768225,0.831775
8971,0.8,0.0317774,0.768223,0.831777
9020,0.8,0.0317803,0.76822,0.83178
9070,0.8,0.0317831,0.768217,0.831783
9120,0.8,0.0317861,0.768214,0.831786
9171,0.8,0.0317891,0.768211,0.831789
9221,0.8,0.0317921,0.768208,0.831792
9271,0.8,0.0317952,0.768205,0.831795
9320,0.8,0.0317984,0.768202,0.831798
