index,x,y,yaw
0,28.275000,4.825000,-1.090831
1,28.243039,4.888590,-1.134464
2,28.212900,4.953065,-1.134464
3,28.184610,5.018371,-1.178097
4,28.158191,5.084456,-1.221730
5,28.133664,5.151267,-1.221730
6,28.111048,5.218748,-1.265364
7,28.090360,5.286846,-1.308997
8,28.071619,5.355505,-1.308997
9,28.054844,5.424670,-1.352630
10,28.040039,5.494284,-1.396263
11,28.027225,5.564291,-1.396263
12,28.016410,5.634635,-1.439896
13,28.007599,5.705258,-1.439896
14,28.000806,5.776104,-1.483529
15,27.996027,5.847114,-1.527163
16,27.993274,5.918231,-1.527163
17,27.992548,5.989398,-1.570796
18,27.993845,6.060557,-1.614429
19,27.997168,6.131649,-1.614429
20,28.002515,6.202619,-1.658063
21,28.009879,6.273407,-1.701696
22,28.019254,6.343958,-1.701696
23,28.030634,6.414213,-1.745329
24,28.044010,6.484115,-1.788962
25,28.059369,6.553608,-1.788962
26,28.076703,6.622637,-1.832596
27,28.095990,6.691143,-1.876229
28,28.117225,6.759073,-1.876229
29,28.140381,6.826370,-1.919862
30,28.164505,6.893330,-1.919862
31,28.188630,6.960290,-1.919862
32,28.212754,7.027250,-1.919862
33,28.236878,7.094209,-1.919862
34,28.261002,7.161170,-1.919862
35,28.285126,7.228129,-1.919862
36,28.309250,7.295089,-1.919862
37,28.333374,7.362048,-1.919862
38,28.357499,7.429009,-1.919862
39,28.381623,7.495968,-1.919862
40,28.405747,7.562928,-1.919862
41,28.429871,7.629888,-1.919862
42,28.453995,7.696848,-1.919862
43,28.477311,7.764091,-1.876229
44,28.498710,7.831968,-1.876229
45,28.518168,7.900427,-1.832596
46,28.535666,7.969413,-1.788962
47,28.551197,8.038869,-1.788962
48,28.564743,8.108738,-1.745329
49,28.576294,8.178964,-1.701696
50,28.585843,8.249492,-1.701696
51,28.593381,8.320262,-1.658063
52,28.598899,8.391219,-1.614429
53,28.602396,8.462303,-1.614429
54,28.603870,8.533458,-1.570796
55,28.603315,8.604627,-1.527163
56,28.600736,8.675751,-1.527163
57,28.596134,8.746772,-1.483529
58,28.589512,8.817634,-1.483529
59,28.580875,8.888278,-1.439896
60,28.570231,8.958649,-1.396263
61,28.557587,9.028687,-1.396263
62,28.542954,9.098337,-1.352630
63,28.526346,9.167542,-1.308997
64,28.507773,9.236247,-1.308997
65,28.487253,9.304395,-1.265364
66,28.464801,9.371932,-1.221730
67,28.440439,9.438802,-1.221730
68,28.414179,9.504952,-1.178097
69,28.386048,9.570327,-1.134464
70,28.356067,9.634875,-1.134464
71,28.324262,9.698543,-1.090831
72,28.290659,9.761280,-1.047197
73,28.255280,9.823036,-1.047197
74,28.218161,9.883759,-1.003564
75,28.179328,9.943401,-0.959931
76,28.138810,10.001913,-0.959931
77,28.096643,10.059249,-0.916298
78,28.052866,10.115360,-0.872664
79,28.007505,10.170203,-0.872664
80,27.960602,10.223732,-0.829031
81,27.912195,10.275905,-0.829031
82,27.862323,10.326679,-0.785398
83,27.811023,10.376012,-0.741765
84,27.758344,10.423865,-0.741765
85,27.704322,10.470200,-0.698131
86,27.649002,10.514977,-0.654498
87,27.592432,10.558162,-0.654498
88,27.534653,10.599719,-0.610865
89,27.475715,10.639614,-0.567231
90,27.415665,10.677816,-0.567231
91,27.354554,10.714293,-0.523598
92,27.292429,10.749015,-0.479965
93,27.229340,10.781955,-0.479965
94,27.165339,10.813086,-0.436332
95,27.100480,10.842383,-0.392699
96,27.034809,10.869821,-0.392699
97,26.968387,10.895379,-0.349066
98,27.001343,10.884172,-0.305432
99,27.069114,10.862435,-0.305432
100,27.137476,10.842637,-0.261799
101,27.206372,10.824793,-0.218166
102,27.275748,10.808917,-0.218166
103,27.345551,10.795021,-0.174533
104,27.415717,10.783119,-0.174533
105,27.486197,10.773219,-0.130899
106,27.556928,10.765329,-0.087266
107,27.627857,10.759455,-0.087266
108,27.698923,10.755604,-0.043633
109,27.770069,10.753776,0.000000
110,27.841242,10.753974,0.000000
111,27.912375,10.756199,0.043633
112,27.983420,10.760447,0.087266
113,28.054313,10.766716,0.087266
114,28.125000,10.775000,0.130900
