index,x,y,yaw
0,26.825000,3.075000,-0.349066
1,26.757621,3.098441,-0.305432
2,26.689750,3.120437,-0.305432
3,26.621854,3.142351,-0.305432
4,26.553959,3.164265,-0.305432
5,26.486063,3.186179,-0.305432
6,26.418168,3.208092,-0.305432
7,26.350272,3.230006,-0.305432
8,26.282376,3.251920,-0.305432
9,26.214481,3.273834,-0.305432
10,26.146585,3.295747,-0.305432
11,26.078690,3.317661,-0.305432
12,26.010794,3.339575,-0.305432
13,25.942899,3.361488,-0.305432
14,25.875003,3.383402,-0.305432
15,25.807108,3.405316,-0.305432
16,25.739212,3.427230,-0.305432
17,25.671317,3.449143,-0.305432
18,25.603420,3.471057,-0.305432
19,25.535524,3.492971,-0.305432
20,25.467629,3.514885,-0.305432
21,25.399733,3.536798,-0.305432
22,25.331838,3.558712,-0.305432
23,25.263942,3.580626,-0.305432
24,25.196047,3.602539,-0.305432
25,25.128151,3.624453,-0.305432
26,25.060254,3.646367,-0.305432
27,24.992359,3.668280,-0.305432
28,24.924463,3.690194,-0.305432
29,24.856568,3.712108,-0.305432
30,24.788672,3.734022,-0.305432
31,24.720777,3.755935,-0.305432
32,24.652881,3.777849,-0.305432
33,24.584986,3.799763,-0.305432
34,24.517090,3.821677,-0.305432
35,24.449195,3.843590,-0.305432
36,24.381298,3.865504,-0.305432
37,24.313402,3.887418,-0.305432
38,24.245507,3.909332,-0.305432
39,24.177611,3.931245,-0.305432
40,24.109716,3.953159,-0.305432
41,24.041820,3.975073,-0.305432
42,23.973925,3.996986,-0.305432
43,23.906029,4.018900,-0.305432
44,23.838134,4.040814,-0.305432
45,23.770238,4.062727,-0.305432
46,23.702343,4.084641,-0.305432
47,23.634446,4.106555,-0.305432
48,23.566550,4.128469,-0.305432
49,23.498655,4.150382,-0.305432
50,23.430759,4.172296,-0.305432
51,23.362864,4.194210,-0.305432
52,23.294968,4.216124,-0.305432
53,23.227072,4.238037,-0.305432
54,23.159177,4.259951,-0.305432
55,23.091281,4.281865,-0.305432
56,23.023386,4.303779,-0.305432
57,22.955490,4.325692,-0.305432
58,22.887593,4.347606,-0.305432
59,22.819698,4.369519,-0.305432
60,22.751802,4.391433,-0.305432
61,22.683907,4.413347,-0.305432
62,22.616011,4.435261,-0.305432
63,22.548116,4.457174,-0.305432
64,22.480220,4.479088,-0.305432
65,22.412325,4.501002,-0.305432
66,22.344429,4.522916,-0.305432
67,22.276534,4.544829,-0.305432
68,22.208637,4.566743,-0.305432
69,22.140741,4.588657,-0.305432
70,22.072846,4.610571,-0.305432
71,22.004950,4.632484,-0.305432
72,21.937055,4.654398,-0.305432
73,21.869159,4.676312,-0.305432
74,21.801264,4.698225,-0.305432
75,21.733368,4.720139,-0.305432
76,21.665473,4.742053,-0.305432
77,21.597576,4.763967,-0.305432
78,21.529682,4.785880,-0.305432
79,21.461785,4.807794,-0.305432
80,21.393889,4.829708,-0.305432
81,21.325994,4.851622,-0.305432
82,21.258315,4.874186,-0.349066
83,21.191295,4.898642,-0.349066
84,21.125000,4.925000,-0.392699
