index,x,y,yaw
0,26.225000,9.075000,-0.210051
1,26.331671,9.052258,-0.212255
2,26.438292,9.029281,-0.214464
3,26.544864,9.006069,-0.216088
4,26.651398,8.982683,-0.217091
5,26.757911,8.959190,-0.217644
6,26.864410,8.935638,-0.217924
7,26.970904,8.912056,-0.218058
8,27.077394,8.888459,-0.218119
9,27.183883,8.864857,-0.218146
10,27.290372,8.841251,-0.218156
11,27.396860,8.817644,-0.218160
12,27.503348,8.794037,-0.218166
13,27.433951,8.810463,-0.261799
14,27.365055,8.828862,-0.261799
15,27.296708,8.849219,-0.305432
16,27.228971,8.871517,-0.349066
17,27.161896,8.895738,-0.349066
18,27.095539,8.921862,-0.392699
19,27.029956,8.949868,-0.436332
20,27.021952,8.953007,-0.483571
21,27.085054,8.919868,-0.499394
22,27.147616,8.885740,-0.522226
23,27.209373,8.850197,-0.548218
24,27.270177,8.813067,-0.575621
25,27.329935,8.774288,-0.603647
26,27.388580,8.733852,-0.631962
27,27.446054,8.691774,-0.660396
28,27.502309,8.648079,-0.688886
29,27.557295,8.602800,-0.717388
30,27.610968,8.555972,-0.745909
31,27.663284,8.507633,-0.774432
32,27.714201,8.457821,-0.802956
33,27.763675,8.406578,-0.831483
34,27.811668,8.353944,-0.860012
35,27.858140,8.299963,-0.888540
36,27.903053,8.244679,-0.917061
37,27.946372,8.188135,-0.945592
38,27.988060,8.130380,-0.974114
39,28.028084,8.071458,-1.002648
40,28.066410,8.011420,-1.031165
41,28.103009,7.950312,-1.059685
42,28.137851,7.888185,-1.088220
43,28.170906,7.825090,-1.116747
44,28.202147,7.761078,-1.145266
45,28.231551,7.696201,-1.173799
46,28.259092,7.630511,-1.202323
47,28.284748,7.564063,-1.230848
48,28.308499,7.496910,-1.259378
49,28.330324,7.429107,-1.287902
50,28.350207,7.360709,-1.316430
51,28.368131,7.291771,-1.344954
52,28.384081,7.222351,-1.373484
53,28.398044,7.152504,-1.402016
54,28.410009,7.082287,-1.430536
55,28.419967,7.011757,-1.459059
56,28.427910,6.940971,-1.487591
57,28.433829,6.869989,-1.516119
58,28.437722,6.798865,-1.544644
59,28.439585,6.727661,-1.573165
60,28.439416,6.656431,-1.601695
61,28.437215,6.585236,-1.630221
62,28.432985,6.514132,-1.658742
63,28.426729,6.443178,-1.687273
64,28.418451,6.372432,-1.715794
65,28.408159,6.301950,-1.744325
66,28.395861,6.231790,-1.772844
67,28.381567,6.162010,-1.801365
68,28.365289,6.092665,-1.829845
69,28.347042,6.023812,-1.858246
70,28.326848,5.955503,-1.886446
71,28.304734,5.887788,-1.914204
72,28.280748,5.820707,-1.940975
73,28.254971,5.754284,-1.965580
74,28.227562,5.688502,-1.985393
75,28.198849,5.623260,-1.995997
76,28.169439,5.558312,-2.000766
77,28.139715,5.493496,-2.002906
78,28.109851,5.428739,-2.003863
79,28.079923,5.364009,-2.004289
80,28.049968,5.299290,-2.004478
81,28.020000,5.234577,-2.004562
82,27.990027,5.169866,-2.004598
83,27.960052,5.105156,-2.004614
84,27.930075,5.040447,-2.004620
85,27.900098,4.975737,-2.004623
86,27.870121,4.911028,-2.004625
87,27.840143,4.846319,-2.004627
88,27.810166,4.781609,-2.004637
89,27.780188,4.716901,-2.004674
90,27.750207,4.652193,-2.004785
91,27.720219,4.587489,-2.005080
92,27.690213,4.522794,-2.005786
93,27.660161,4.458122,-2.007395
94,27.630007,4.393501,-2.010985
95,27.599625,4.328996,-2.018944
96,27.568736,4.264747,-2.035872
97,27.536771,4.201046,-2.059167
98,27.503339,4.138120,-2.085299
99,27.468279,4.076098,-2.112597
100,27.431542,4.015061,-2.140177
101,27.393135,3.955059,-2.167332
102,27.353111,3.896120,-2.193145
103,27.311574,3.838225,-2.215790
104,27.268731,3.781278,-2.231381
105,27.225000,3.725000,-2.268928
