index,x,y,yaw
0,15.975000,10.175000,1.090831
1,16.024443,10.267592,1.069837
2,16.075818,10.359126,1.048844
3,16.129104,10.449561,1.027850
4,16.184276,10.538858,1.006856
5,16.241310,10.626977,0.985863
6,16.300182,10.713879,0.964869
7,16.360355,10.799887,0.959686
8,16.420583,10.885857,0.959686
9,16.480812,10.971827,0.959686
10,16.541040,11.057797,0.959686
11,16.601268,11.143767,0.959686
12,16.661496,11.229737,0.959686
13,16.721725,11.315707,0.959686
14,16.781953,11.401677,0.959686
15,16.842181,11.487647,0.959686
16,16.902409,11.573617,0.959686
17,16.962637,11.659587,0.959686
18,17.022866,11.745557,0.959686
19,17.083094,11.831527,0.959686
20,17.143322,11.917497,0.959686
21,17.203550,12.003467,0.959686
22,17.263778,12.089437,0.959686
23,17.324007,12.175407,0.959686
24,17.384235,12.261376,0.959686
25,17.444463,12.347346,0.959686
26,17.504691,12.433316,0.959686
27,17.564919,12.519286,0.959686
28,17.625148,12.605256,0.959686
29,17.685376,12.691226,0.959686
30,17.745604,12.777196,0.959686
31,17.805832,12.863166,0.959686
32,17.866060,12.949136,0.959686
33,17.926289,13.035106,0.959686
34,17.986517,13.121076,0.959686
35,18.046745,13.207046,0.959686
36,18.106973,13.293016,0.959686
37,18.167202,13.378986,0.959686
38,18.227430,13.464956,0.959686
39,18.287658,13.550926,0.959686
40,18.347886,13.636896,0.959686
41,18.408211,13.722797,0.952795
42,18.469924,13.807705,0.931801
43,18.533406,13.891300,0.910808
44,18.598628,13.973542,0.889814
45,18.665563,14.054398,0.868820
46,18.734180,14.133831,0.847827
47,18.804449,14.211806,0.826833
48,18.876340,14.288289,0.805840
49,18.927045,14.341110,0.777574
50,18.978487,14.391754,0.748932
51,19.030867,14.440446,0.720184
52,19.084305,14.487333,0.691462
53,19.138869,14.532500,0.662813
54,19.194582,14.575991,0.634243
55,19.251442,14.617819,0.605741
56,19.309428,14.657980,0.577290
57,19.368509,14.696460,0.548875
58,19.428645,14.733237,0.520483
59,19.489794,14.768287,0.492107
60,19.551908,14.801586,0.463740
61,19.614939,14.833109,0.435379
62,19.678838,14.862832,0.407022
63,19.743553,14.890730,0.378668
64,19.809033,14.916783,0.350319
65,19.875226,14.940969,0.321977
66,19.942077,14.963269,0.293649
67,20.009534,14.983668,0.265347
68,20.077542,15.002149,0.237095
69,20.146047,15.018703,0.208931
70,20.214995,15.033322,0.180924
71,20.284331,15.046005,0.153181
72,20.354003,15.056761,0.125871
73,20.423956,15.065613,0.099238
74,20.494141,15.072601,0.073622
75,20.564509,15.077791,0.049457
76,20.635017,15.081281,0.027258
77,20.705625,15.083206,0.007553
78,20.776303,15.083740,-0.009212
79,20.847024,15.083089,-0.022801
80,20.917772,15.081475,-0.033276
81,20.988534,15.079120,-0.040974
82,21.059303,15.076218,-0.046390
83,21.130076,15.072933,-0.050054
84,21.200850,15.069387,-0.052450
85,21.271624,15.065672,-0.053970
86,21.342398,15.061848,-0.054909
87,21.413172,15.057958,-0.055476
88,21.483946,15.054028,-0.055811
89,21.554719,15.050074,-0.056005
90,21.625493,15.046106,-0.056116
91,21.696266,15.042131,-0.056178
92,21.767040,15.038151,-0.056212
93,21.837813,15.034168,-0.056231
94,21.908586,15.030184,-0.056241
95,21.979360,15.026200,-0.056246
96,22.050133,15.022215,-0.056249
97,22.120906,15.018229,-0.056251
98,22.191680,15.014244,-0.056252
99,22.262453,15.010259,-0.056252
100,22.333226,15.006274,-0.056252
101,22.404000,15.002288,-0.056252
102,22.474773,14.998303,-0.056252
103,22.545546,14.994317,-0.056252
104,22.616320,14.990332,-0.056252
105,22.687093,14.986347,-0.056252
106,22.757866,14.982361,-0.056252
107,22.828640,14.978376,-0.056252
108,22.899413,14.974391,-0.056252
109,22.970186,14.970405,-0.056252
110,23.040960,14.966420,-0.056253
111,23.111733,14.962435,-0.056253
112,23.182506,14.958449,-0.056252
113,23.254231,14.953893,-0.070627
114,23.325883,14.948306,-0.085001
115,23.397448,14.941690,-0.099375
116,23.468910,14.934046,-0.113749
117,23.540255,14.925375,-0.128123
118,23.611467,14.915680,-0.142497
119,23.682533,14.904963,-0.156871
120,23.753438,14.893225,-0.171245
121,23.824167,14.880469,-0.185619
122,23.894705,14.866698,-0.199993
123,23.965037,14.851914,-0.214367
124,24.035192,14.836306,-0.220043
125,24.105329,14.820618,-0.220043
126,24.175467,14.804931,-0.220043
127,24.245604,14.789244,-0.220043
128,24.315741,14.773557,-0.220043
129,24.385879,14.757869,-0.220043
130,24.456016,14.742182,-0.220043
131,24.526153,14.726495,-0.220043
132,24.596291,14.710808,-0.220043
133,24.666428,14.695120,-0.220043
134,24.736565,14.679433,-0.220043
135,24.806703,14.663746,-0.220043
136,24.876840,14.648059,-0.220043
137,24.946978,14.632371,-0.220043
138,25.017164,14.616906,-0.210500
139,25.087553,14.602395,-0.196126
140,25.158144,14.588897,-0.181752
141,25.228921,14.576414,-0.167378
142,25.299871,14.564951,-0.153004
143,25.370978,14.554508,-0.138630
144,25.442227,14.545088,-0.124256
145,25.513605,14.536694,-0.109882
146,25.585096,14.529326,-0.095508
147,25.656686,14.522987,-0.081134
148,25.728359,14.517677,-0.066760
149,25.800101,14.513398,-0.052386
150,25.871897,14.510151,-0.038011
151,25.943733,14.507936,-0.023637
152,26.015593,14.506754,-0.009263
153,26.087462,14.506604,0.005111
154,26.159327,14.507488,0.019485
155,26.231171,14.509405,0.033859
156,26.302980,14.512354,0.048233
157,26.374739,14.516335,0.062607
158,26.446434,14.521347,0.076981
159,26.518049,14.527389,0.091355
160,26.589570,14.534460,0.105729
161,26.660982,14.542558,0.120103
162,26.732270,14.551681,0.134477
163,26.803420,14.561829,0.148851
164,26.874416,14.572998,0.163225
165,26.945245,14.585186,0.177599
166,27.015891,14.598391,0.191973
167,27.086340,14.612610,0.206347
168,27.156577,14.627840,0.220722
169,27.226589,14.644079,0.235096
170,27.296359,14.661322,0.249470
171,27.365875,14.679566,0.263844
172,27.435121,14.698807,0.278218
173,27.504083,14.719041,0.292592
174,27.572748,14.740265,0.306966
175,27.641100,14.762474,0.321340
176,27.709126,14.785662,0.335714
177,27.776811,14.809826,0.350088
178,27.844143,14.834961,0.364462
179,27.911106,14.861061,0.378836
180,27.977687,14.888120,0.393210
181,28.043872,14.916134,0.407584
182,28.109648,14.945096,0.421958
183,28.175000,14.975000,0.436332
