index,x,y,yaw
0,18.775000,11.975000,0.610865
1,18.717314,11.933373,0.654499
2,18.660836,11.890120,0.654499
3,18.605611,11.845279,0.698132
4,18.551685,11.798884,0.741765
5,18.499100,11.750974,0.741765
6,18.447901,11.701587,0.785398
7,18.398126,11.650764,0.829031
8,18.349817,11.598544,0.829031
9,18.303015,11.544972,0.872665
10,18.257755,11.490090,0.916298
11,18.214075,11.433941,0.916298
12,18.172011,11.376573,0.959931
13,18.131595,11.318031,0.959931
14,18.092862,11.258364,1.003564
15,18.055843,11.197618,1.047198
16,18.020566,11.135843,1.047198
17,17.987061,11.073090,1.090831
18,17.955355,11.009409,1.134464
19,17.925475,10.944852,1.134464
20,17.897441,10.879470,1.178097
21,17.871282,10.813318,1.221731
22,17.847014,10.746448,1.221731
23,17.824658,10.678914,1.265364
24,17.804233,10.610772,1.308997
25,17.785756,10.542076,1.308997
26,17.769240,10.472883,1.352630
27,17.754700,10.403247,1.396263
28,17.742147,10.333226,1.396263
29,17.731591,10.262876,1.439897
30,17.723041,10.192255,1.483530
31,17.715419,10.121526,1.439897
32,17.705931,10.051024,1.439897
33,17.694441,9.980821,1.396263
34,17.680959,9.910973,1.352630
35,17.665494,9.841536,1.352630
36,17.648061,9.772569,1.308997
37,17.628672,9.704125,1.265364
38,17.607343,9.636260,1.265364
39,17.584091,9.569029,1.221731
40,17.558937,9.502488,1.178097
41,17.531899,9.436689,1.178097
42,17.503002,9.371686,1.134464
43,17.472264,9.307531,1.090831
44,17.439716,9.244277,1.090831
45,17.405379,9.181975,1.047198
46,17.369284,9.120675,1.003564
47,17.331461,9.060426,1.003564
48,17.291938,9.001279,0.959931
49,17.250748,8.943279,0.959931
50,17.207924,8.886476,0.916298
51,17.163503,8.830913,0.872665
52,17.117517,8.776637,0.872665
53,17.070008,8.723691,0.829031
54,17.021009,8.672118,0.785398
55,16.970563,8.621961,0.785398
56,16.918712,8.573258,0.741765
57,16.865494,8.526051,0.698132
58,16.810956,8.480378,0.698132
59,16.755141,8.436274,0.654499
60,16.698093,8.393776,0.610865
61,16.639858,8.352919,0.610865
62,16.580486,8.313735,0.567232
63,16.520021,8.276257,0.523599
64,16.458516,8.240514,0.523599
65,16.396018,8.206535,0.479966
66,16.332579,8.174348,0.436332
67,16.268250,8.143979,0.436332
68,16.203083,8.115453,0.392699
69,16.137129,8.088792,0.349066
70,16.070445,8.064018,0.349066
71,16.003083,8.041153,0.305433
72,15.935097,8.020213,0.305433
73,15.866544,8.001215,0.261799
74,15.797478,7.984176,0.218166
75,15.727953,7.969109,0.218166
76,15.658029,7.956027,0.174533
77,15.620500,7.949738,0.130900
78,15.691056,7.958823,0.130900
79,15.761840,7.965896,0.087266
80,15.832797,7.970953,0.043633
81,15.903870,7.973988,0.043633
82,15.975000,7.975000,0.000000
