index,x,y,yaw
0,20.975000,13.875000,0.043633
1,21.061193,13.878019,0.026384
2,21.147424,13.879550,0.009135
3,21.233669,13.879594,-0.008115
4,21.319903,13.878151,-0.025364
5,21.406098,13.875220,-0.042613
6,21.492230,13.870803,-0.059862
7,21.578273,13.864901,-0.077112
8,21.664201,13.857516,-0.094361
9,21.749990,13.848649,-0.111610
10,21.835612,13.838305,-0.128859
11,21.921043,13.826485,-0.146109
12,22.006258,13.813193,-0.163358
13,22.091231,13.798433,-0.180607
14,22.175937,13.782210,-0.197856
15,22.260350,13.764528,-0.215106
16,22.344446,13.745393,-0.232355
17,22.428199,13.724811,-0.249604
18,22.511584,13.702786,-0.266853
19,22.594578,13.679327,-0.284103
20,22.677154,13.654440,-0.301352
21,22.759289,13.628132,-0.318601
22,22.840958,13.600411,-0.335850
23,22.922136,13.571286,-0.353100
24,23.002800,13.540765,-0.370349
25,23.082926,13.508857,-0.387598
26,23.162489,13.475572,-0.404847
27,23.241467,13.440919,-0.422097
28,23.319835,13.404910,-0.439346
29,23.397570,13.367554,-0.456595
30,23.474649,13.328862,-0.473844
31,23.551050,13.288847,-0.491094
32,23.626749,13.247521,-0.508343
33,23.701724,13.204894,-0.525592
34,23.775952,13.160981,-0.542841
35,23.849412,13.115794,-0.560091
36,23.922082,13.069347,-0.577340
37,23.993939,13.021653,-0.594589
38,24.064964,12.972727,-0.611838
39,24.135134,12.922583,-0.629088
40,24.204428,12.871236,-0.646337
41,24.272827,12.818701,-0.663586
42,24.340309,12.764995,-0.680835
43,24.406855,12.710133,-0.698085
44,24.472445,12.654131,-0.715334
45,24.537059,12.597006,-0.732583
46,24.600678,12.538775,-0.749832
47,24.663283,12.479455,-0.767082
48,24.724856,12.419065,-0.784331
49,24.785378,12.357621,-0.801580
50,24.844831,12.295142,-0.818829
51,24.903197,12.231648,-0.836079
52,24.960460,12.167156,-0.853328
53,25.016602,12.101686,-0.870577
54,25.071606,12.035257,-0.887826
55,25.125457,11.967890,-0.905076
56,25.178137,11.899603,-0.922325
57,25.229631,11.830419,-0.939574
58,25.279925,11.760356,-0.956823
59,25.329003,11.689436,-0.974073
60,25.376850,11.617680,-0.991322
61,25.423452,11.545110,-1.008571
62,25.468796,11.471747,-1.025820
63,25.512868,11.397612,-1.043070
64,25.555654,11.322729,-1.060319
65,25.597142,11.247118,-1.077568
66,25.637320,11.170803,-1.094817
67,25.676176,11.093807,-1.112067
68,25.713698,11.016151,-1.129316
69,25.749875,10.937860,-1.146565
70,25.784696,10.858957,-1.163814
71,25.818151,10.779465,-1.181064
72,25.850229,10.699408,-1.198313
73,25.880923,10.618809,-1.215562
74,25.910221,10.537693,-1.232811
75,25.938116,10.456083,-1.250061
76,25.964599,10.374005,-1.267310
77,25.989663,10.291482,-1.284559
78,26.013299,10.208539,-1.301808
79,26.035501,10.125200,-1.319058
80,26.056263,10.041491,-1.336307
81,26.075577,9.957437,-1.353556
82,26.093439,9.873061,-1.370805
83,26.109843,9.788390,-1.388055
84,26.124784,9.703449,-1.405304
85,26.138258,9.618263,-1.422553
86,26.150260,9.532857,-1.439802
87,26.160787,9.447257,-1.457052
88,26.169837,9.361488,-1.474301
89,26.177406,9.275575,-1.491550
90,26.183491,9.189545,-1.508799
91,26.188092,9.103423,-1.526049
92,26.191207,9.017234,-1.543298
93,26.192835,8.931004,-1.560547
94,26.192975,8.844759,-1.577796
95,26.191627,8.758524,-1.595046
96,26.188793,8.672326,-1.612295
97,26.184471,8.586189,-1.629544
98,26.178665,8.500139,-1.646793
99,26.171376,8.414203,-1.664043
100,26.162605,8.328405,-1.681292
101,26.152356,8.242771,-1.698541
102,26.140631,8.157326,-1.715790
103,26.127434,8.072097,-1.733040
104,26.112769,7.987107,-1.750289
105,26.096787,7.902355,-1.759828
106,26.080580,7.817645,-1.759828
107,26.064374,7.732936,-1.759828
108,26.048167,7.648226,-1.759828
109,26.031961,7.563516,-1.759828
110,26.015755,7.478806,-1.759828
111,25.999548,7.394096,-1.759828
112,25.983342,7.309386,-1.759828
113,25.967136,7.224676,-1.759828
114,25.950840,7.139983,-1.765864
115,25.933394,7.055521,-1.783114
116,25.914493,6.971372,-1.800363
117,25.894144,6.887562,-1.817612
118,25.876858,6.818955,-1.817454
119,25.859583,6.750345,-1.817171
120,25.842328,6.681732,-1.816680
121,25.825107,6.613111,-1.815850
122,25.807944,6.544479,-1.814484
123,25.790875,6.475829,-1.812306
124,25.773958,6.407149,-1.808943
125,25.757275,6.338425,-1.803932
126,25.740941,6.269636,-1.796750
127,25.725107,6.200756,-1.786891
128,25.709960,6.131756,-1.773982
129,25.695713,6.062606,-1.757903
130,25.682588,5.993279,-1.738835
131,25.670794,5.923759,-1.717192
132,25.660515,5.854041,-1.693495
133,25.651894,5.784135,-1.668260
134,25.645043,5.714063,-1.641937
135,25.640040,5.643858,-1.614874
136,25.636939,5.573560,-1.587329
137,25.635776,5.503214,-1.559479
138,25.636572,5.432872,-1.531442
