index,x,y,yaw
0,26.025000,7.575000,-0.916298
1,26.067249,7.518299,-0.959931
2,26.107874,7.460426,-0.959931
3,26.146848,7.401428,-1.003564
4,26.184140,7.341351,-1.047197
5,26.219715,7.280243,-1.047197
6,26.253550,7.218153,-1.090831
7,26.285614,7.155132,-1.134464
8,26.315882,7.091229,-1.134464
9,26.344330,7.026495,-1.178097
10,26.370939,6.960983,-1.178097
11,26.395682,6.894745,-1.221730
12,26.418546,6.827833,-1.265364
13,26.439505,6.760301,-1.265364
14,26.458545,6.692204,-1.308997
15,26.475653,6.623596,-1.352630
16,26.490815,6.554530,-1.352630
17,26.504017,6.485064,-1.396263
18,26.515247,6.415253,-1.439896
19,26.524500,6.345151,-1.439896
20,26.531766,6.274816,-1.483529
21,26.537040,6.204304,-1.527163
22,26.540317,6.133671,-1.527163
23,26.541599,6.062973,-1.570796
24,26.540876,5.992267,-1.614429
25,26.538157,5.921610,-1.614429
26,26.533439,5.851058,-1.658063
27,26.526731,5.780668,-1.701696
28,26.518885,5.710394,-1.658063
29,26.512790,5.639947,-1.658063
30,26.508692,5.569357,-1.614429
31,26.506592,5.498679,-1.570796
32,26.506491,5.427969,-1.570796
33,26.508393,5.357285,-1.527163
34,26.512290,5.286683,-1.483529
35,26.518183,5.216220,-1.483529
36,26.526065,5.145952,-1.439896
37,26.535935,5.075934,-1.396263
38,26.547779,5.006224,-1.396263
39,26.561588,4.936876,-1.352630
40,26.577353,4.867947,-1.352630
41,26.595063,4.799491,-1.308997
42,26.614701,4.731563,-1.265364
43,26.636252,4.664218,-1.265364
44,26.659702,4.597509,-1.221730
45,26.685025,4.531491,-1.178097
46,26.712207,4.466214,-1.178097
47,26.741224,4.401733,-1.134464
48,26.772052,4.338098,-1.090831
49,26.804667,4.275361,-1.090831
50,26.839045,4.213570,-1.047197
51,26.875156,4.152777,-1.003564
52,26.912970,4.093029,-1.003564
53,26.952460,4.034375,-0.959931
54,26.993595,3.976861,-0.916298
55,27.036338,3.920533,-0.916298
56,27.080658,3.865437,-0.872664
57,27.126517,3.811616,-0.872664
58,27.173880,3.759113,-0.829031
59,27.222712,3.707971,-0.785398
60,27.272968,3.658231,-0.785398
61,27.324610,3.609932,-0.741765
62,27.377597,3.563112,-0.698131
63,27.431888,3.517810,-0.698131
64,27.487439,3.474061,-0.654498
65,27.544205,3.431900,-0.610865
66,27.602140,3.391363,-0.610865
67,27.661200,3.352479,-0.567231
68,27.721332,3.315282,-0.523598
69,27.782496,3.279800,-0.523598
70,27.844638,3.246062,-0.479965
71,27.907709,3.214094,-0.436332
72,27.971659,3.183924,-0.436332
73,28.036435,3.155574,-0.392699
74,28.011414,3.165229,-0.349066
75,27.945139,3.189871,-0.349066
76,27.878190,3.212630,-0.305432
77,27.810627,3.233485,-0.305432
78,27.742499,3.252422,-0.261799
79,27.673865,3.269424,-0.218166
80,27.604776,3.284478,-0.218166
81,27.535291,3.297573,-0.174533
82,27.465464,3.308697,-0.130899
83,27.395346,3.317842,-0.130899
84,27.325000,3.325000,-0.087266
