index,x,y,yaw
0,7.675000,13.425000,0.436332
1,7.608654,13.395229,0.392699
2,7.541470,13.367401,0.392699
3,7.473505,13.341538,0.349066
4,7.494768,13.348422,0.305433
5,7.564122,13.370288,0.305433
6,7.634082,13.390129,0.261799
7,7.704590,13.407927,0.218166
8,7.775586,13.423667,0.218166
9,7.847009,13.437335,0.174533
10,7.918800,13.448920,0.130900
11,7.990897,13.458411,0.130900
12,8.063241,13.465802,0.087266
13,8.135768,13.471086,0.043633
14,8.208418,13.474257,0.043633
15,8.225000,13.475000,0.000000
