index,x,y,yaw
0,25.075000,3.625000,0.610865
1,25.014246,3.583776,0.567232
2,24.952308,3.544354,0.567232
3,24.995934,3.570023,0.523599
4,25.060080,3.605742,0.479966
5,25.125246,3.639561,0.479966
6,25.191379,3.671452,0.436332
7,25.258419,3.701388,0.392699
8,25.326308,3.729342,0.392699
9,25.394989,3.755290,0.349066
10,25.464403,3.779210,0.305433
11,25.534490,3.801082,0.305433
12,25.605188,3.820886,0.261799
13,25.676438,3.838606,0.218166
14,25.748178,3.854226,0.218166
15,25.820343,3.867732,0.174533
16,25.892878,3.879113,0.130900
17,25.965711,3.888360,0.130900
18,26.038788,3.895464,0.087266
19,26.112040,3.900419,0.043633
20,26.185407,3.903220,0.043633
21,26.258823,3.903867,0.000000
22,26.332242,3.903838,0.000000
23,26.405634,3.905901,0.043633
24,26.478934,3.910119,0.087266
25,26.552076,3.916487,0.087266
26,26.625000,3.925000,0.130900
