index,x,y,yaw
0,17.925000,11.775000,0.479966
1,17.988397,11.806867,0.436332
2,18.052674,11.836923,0.436332
3,18.117777,11.865141,0.392699
4,18.183654,11.891502,0.349066
5,18.250254,11.915981,0.349066
6,18.317520,11.938561,0.305433
7,18.385250,11.959722,0.305433
8,18.453003,11.980806,0.305433
9,18.520757,12.001891,0.305433
10,18.588510,12.022975,0.305433
11,18.656262,12.044059,0.305433
12,18.724016,12.065144,0.305433
13,18.791770,12.086228,0.305433
14,18.859523,12.107312,0.305433
15,18.927275,12.128397,0.305433
16,18.995029,12.149481,0.305433
17,19.062783,12.170565,0.305433
18,19.130536,12.191650,0.305433
19,19.198290,12.212734,0.305433
20,19.266042,12.233818,0.305433
21,19.333795,12.254903,0.305433
22,19.401549,12.275987,0.305433
23,19.469303,12.297071,0.305433
24,19.537056,12.318156,0.305433
25,19.604808,12.339240,0.305433
26,19.672562,12.360324,0.305433
27,19.740316,12.381409,0.305433
28,19.808069,12.402493,0.305433
29,19.875821,12.423577,0.305433
30,19.943575,12.444662,0.305433
31,20.011328,12.465746,0.305433
32,20.079082,12.486830,0.305433
33,20.146836,12.507915,0.305433
34,20.214588,12.529000,0.305433
35,20.282341,12.550083,0.305433
36,20.350095,12.571168,0.305433
37,20.417849,12.592253,0.305433
38,20.485602,12.613337,0.305433
39,20.553354,12.634421,0.305433
40,20.621108,12.655506,0.305433
41,20.688861,12.676590,0.305433
42,20.756615,12.697674,0.305433
43,20.824367,12.718759,0.305433
44,20.892121,12.739843,0.305433
45,20.959874,12.760927,0.305433
46,21.027628,12.782012,0.305433
47,21.095381,12.803096,0.305433
48,21.163135,12.824180,0.305433
49,21.230887,12.845265,0.305433
50,21.298641,12.866348,0.305433
51,21.366394,12.887433,0.305433
52,21.434148,12.908518,0.305433
53,21.501900,12.929602,0.305433
54,21.569654,12.950687,0.305433
55,21.637407,12.971771,0.305433
56,21.705161,12.992855,0.305433
57,21.772914,13.013939,0.305433
58,21.840667,13.035024,0.305433
59,21.908420,13.056108,0.305433
60,21.976174,13.077193,0.305433
61,22.043927,13.098277,0.305433
62,22.111512,13.119892,0.305433
63,22.178476,13.143353,0.349066
64,22.244748,13.168706,0.392699
65,22.310274,13.195929,0.392699
66,22.375000,13.225000,0.436332
