index,x,y,yaw
0,28.375000,8.975000,1.754025
1,28.390875,8.889331,1.760519
2,28.407061,8.805047,1.772848
3,28.423835,8.723158,1.790076
4,28.441448,8.644129,1.810893
5,28.460099,8.567947,1.833731
6,28.479925,8.494291,1.856969
7,28.500985,8.422717,1.879132
8,28.523263,8.352771,1.899048
9,28.546667,8.284051,1.915940
10,28.571051,8.216228,1.929476
11,28.596239,8.149042,1.939758
12,28.622048,8.082296,1.947199
13,28.648313,8.015845,1.952357
14,28.674897,7.949587,1.955802
15,28.701697,7.883452,1.958027
16,28.728637,7.817393,1.959424
17,28.755666,7.751381,1.960280
18,28.782749,7.685397,1.960792
19,28.809865,7.619429,1.961092
20,28.837000,7.553470,1.961264
21,28.864147,7.487517,1.961361
22,28.891300,7.421567,1.961413
23,28.918456,7.355618,1.961439
24,28.945613,7.289670,1.961444
25,28.972772,7.223722,1.961432
26,28.999929,7.157774,1.961394
27,29.027083,7.091825,1.961314
28,29.054233,7.025875,1.961160
29,29.081372,6.959920,1.960878
30,29.108492,6.893959,1.960377
31,29.135578,6.827985,1.959516
32,29.162607,6.761991,1.958082
33,29.189539,6.695963,1.955778
34,29.216315,6.629881,1.952208
35,29.242851,6.563716,1.946887
36,29.269027,6.497429,1.939282
37,29.294688,6.430969,1.928895
38,29.319646,6.364279,1.915383
39,29.343686,6.297298,1.898672
40,29.366589,6.229967,1.878993
41,29.388148,6.162241,1.856790
42,29.408188,6.094094,1.832599
43,29.426563,6.025516,1.806937
44,29.443166,5.956517,1.780241
45,29.457917,5.887122,1.752852
46,29.470759,5.817364,1.725013
47,29.481653,5.747286,1.696893
48,29.490571,5.676937,1.668601
49,29.497495,5.606369,1.640207
50,29.502412,5.535635,1.611754
51,29.505316,5.464793,1.583267
52,29.506200,5.393897,1.554761
53,29.505063,5.323006,1.526244
54,29.501905,5.252176,1.497721
55,29.496729,5.181465,1.469196
56,29.489538,5.110931,1.440669
57,29.480338,5.040631,1.412141
58,29.469136,4.970621,1.383613
59,29.455942,4.900960,1.355085
60,29.440767,4.831704,1.326557
61,29.423622,4.762908,1.298029
62,29.404522,4.694630,1.269501
63,29.383482,4.626924,1.240973
64,29.360519,4.559846,1.212445
65,29.335652,4.493450,1.183917
66,29.308902,4.427790,1.155389
67,29.280289,4.362921,1.126860
68,29.249838,4.298893,1.098332
69,29.217573,4.235761,1.069804
70,29.183520,4.173574,1.041275
71,29.147707,4.112385,1.012747
72,29.110164,4.052241,0.984218
73,29.070920,3.993193,0.955689
74,29.030007,3.935289,0.927161
75,28.987460,3.878575,0.898634
76,28.943312,3.823097,0.870108
77,28.897600,3.768901,0.841586
78,28.850360,3.716031,0.813069
79,28.801633,3.664529,0.784565
80,28.751456,3.614436,0.756087
81,28.699873,3.565792,0.727658
82,28.646926,3.518632,0.699322
83,28.592662,3.472988,0.671154
84,28.537129,3.428888,0.643282
85,28.480380,3.386346,0.615915
86,28.422477,3.345364,0.589371
87,28.363488,3.305922,0.564122
88,28.303499,3.267966,0.540816
89,28.242612,3.231401,0.520288
90,28.180953,3.196073,0.503528
91,28.118677,3.161766,0.491579
92,28.055968,3.128191,0.485352
93,27.993036,3.094999,0.349187
94,28.037218,3.111085,0.339578
95,28.094180,3.131208,0.319447
96,28.157297,3.152085,0.295199
97,28.223494,3.172215,0.268883
98,28.291344,3.190911,0.241475
99,28.360174,3.207863,0.213491
100,28.429661,3.222927,0.185220
101,28.499633,3.236038,0.156808
102,28.569984,3.247161,0.128431
103,28.640637,3.256285,0.100579
104,28.711526,3.263439,0.074326
105,28.782590,3.268731,0.051638
106,28.853768,3.272410,0.036351
107,28.925000,3.275000,0.000000
