index,x,y,yaw
0,15.875000,11.925000,-2.787006
1,15.773473,11.887411,-2.787196
2,15.672204,11.849940,-2.787356
3,15.571489,11.812692,-2.787145
4,15.471724,11.775771,-2.786187
5,15.373431,11.739288,-2.784059
6,15.277263,11.703360,-2.780261
7,15.183969,11.668102,-2.774184
8,15.094302,11.633591,-2.765137
9,15.008870,11.599819,-2.752493
10,14.927968,11.566649,-2.735927
11,14.851482,11.533799,-2.715583
12,14.778979,11.500897,-2.692053
13,14.709871,11.467554,-2.666172
14,14.643566,11.433420,-2.638781
15,14.579557,11.398217,-2.610559
16,14.517453,11.361743,-2.581969
17,14.456983,11.323863,-2.553278
18,14.397973,11.284496,-2.524616
19,14.340324,11.243603,-2.496030
20,14.283989,11.201170,-2.467524
21,14.228955,11.157203,-2.439087
22,14.175232,11.111723,-2.410699
23,14.122843,11.064754,-2.382347
24,14.071817,11.016330,-2.354018
25,14.022189,10.966486,-2.325704
26,13.973996,10.915260,-2.297399
27,13.927273,10.862692,-2.269101
28,13.882056,10.808824,-2.240808
29,13.838382,10.753700,-2.212521
30,13.796285,10.697362,-2.184247
31,13.755797,10.639856,-2.155995
32,13.716949,10.581228,-2.127788
33,13.679769,10.521527,-2.099666
34,13.644281,10.460801,-2.071701
35,13.610502,10.399102,-2.044019
36,13.578440,10.336484,-2.016824
37,13.548086,10.273004,-1.990437
38,13.519409,10.208727,-1.965331
39,13.492345,10.143725,-1.942162
40,13.466781,10.078083,-1.921768
41,13.442549,10.011897,-1.905137
42,13.419408,9.945283,-1.893299
43,13.397048,9.878370,-1.887147
44,13.375095,9.811305,-1.754486
45,13.384863,9.863885,-1.743568
46,13.395680,9.925867,-1.723270
47,13.405883,9.992264,-1.699019
48,13.414718,10.060790,-1.672810
49,13.421842,10.130381,-1.645585
50,13.427098,10.200525,-1.617827
51,13.430413,10.270959,-1.589807
52,13.431755,10.341536,-1.561648
53,13.431108,10.412156,-1.533417
54,13.428469,10.482744,-1.505157
55,13.423835,10.553236,-1.476879
56,13.417210,10.623571,-1.448588
57,13.408598,10.693693,-1.420302
58,13.398005,10.763542,-1.392006
59,13.385441,10.833065,-1.363717
60,13.370916,10.902204,-1.335423
61,13.354440,10.970905,-1.307128
62,13.336027,11.039113,-1.278834
63,13.315692,11.106772,-1.250539
64,13.293451,11.173828,-1.222249
65,13.269322,11.240229,-1.193953
66,13.243324,11.305921,-1.165662
67,13.215478,11.370851,-1.137369
68,13.185807,11.434967,-1.109076
69,13.154334,11.498218,-1.080783
70,13.121084,11.560553,-1.052491
71,13.086084,11.621923,-1.024198
72,13.049362,11.682278,-0.995902
73,13.010946,11.741570,-0.967611
74,12.970870,11.799752,-0.939315
75,12.929163,11.856776,-0.911022
76,12.885859,11.912598,-0.882730
77,12.840994,11.967173,-0.854440
78,12.794603,12.020456,-0.826145
79,12.746723,12.072406,-0.797851
80,12.697393,12.122981,-0.769556
81,12.646652,12.172139,-0.741262
82,12.594540,12.219843,-0.712970
83,12.541100,12.266053,-0.684677
84,12.486373,12.310733,-0.656383
85,12.430405,12.353847,-0.628090
86,12.373239,12.395360,-0.599795
87,12.314922,12.435239,-0.571504
88,12.255500,12.473453,-0.543211
89,12.195021,12.509971,-0.514918
90,12.133533,12.544763,-0.486623
91,12.071085,12.577801,-0.458333
92,12.007728,12.609060,-0.430050
93,11.943511,12.638515,-0.401793
94,11.878488,12.666144,-0.373607
95,11.812711,12.691930,-0.345600
96,11.746235,12.715864,-0.318002
97,11.679119,12.737957,-0.291296
98,11.611429,12.758252,-0.266546
99,11.543244,12.776870,-0.246115
100,11.474678,12.794094,-0.234583
101,11.405902,12.810530,-0.229399
102,11.337031,12.826612,-0.227068
103,11.268118,12.842535,-0.226025
104,11.199186,12.858386,-0.225561
105,11.130245,12.874206,-0.225354
106,11.061301,12.890011,-0.225264
107,10.992355,12.905810,-0.225224
108,10.923408,12.921607,-0.225207
109,10.854462,12.937402,-0.225199
110,10.785514,12.953197,-0.225196
111,10.716567,12.968991,-0.225195
112,10.647620,12.984786,-0.225194
113,10.578673,13.000580,-0.225194
114,10.509726,13.016374,-0.225194
115,10.440779,13.032169,-0.225194
116,10.371832,13.047963,-0.225194
117,10.302884,13.063758,-0.225194
118,10.233937,13.079552,-0.225194
119,10.164990,13.095346,-0.225194
120,10.096043,13.111141,-0.225194
121,10.027096,13.126935,-0.225194
122,9.958148,13.142729,-0.225194
123,9.889201,13.158524,-0.225194
124,9.820254,13.174318,-0.225194
125,9.751307,13.190113,-0.225194
126,9.682360,13.205907,-0.225194
127,9.613413,13.221701,-0.225194
128,9.544465,13.237496,-0.225193
129,9.475518,13.253290,-0.225193
130,9.406571,13.269084,-0.225193
131,9.337624,13.284879,-0.225186
132,9.268676,13.300673,-0.225162
133,9.199729,13.316465,-0.225080
134,9.130780,13.332251,-0.224860
135,9.061828,13.348022,-0.224319
136,8.992868,13.363756,-0.223073
137,8.923892,13.379403,-0.220278
138,8.854879,13.394856,-0.214075
139,8.785781,13.409878,-0.200354
140,8.716501,13.423948,-0.178678
141,8.646947,13.436510,-0.153512
142,8.577109,13.447316,-0.127018
143,8.507013,13.456267,-0.100459
144,8.436702,13.463354,-0.075027
145,8.366227,13.468652,-0.052636
146,8.295641,13.472371,-0.037206
147,8.225000,13.475000,0.000000
