index,x,y,yaw
0,27.125000,12.125000,-0.349066
1,27.192038,12.099506,-0.392699
2,27.258316,12.072098,-0.392699
3,27.323783,12.042801,-0.436332
4,27.388382,12.011638,-0.479965
5,27.452060,11.978635,-0.479965
6,27.514765,11.943818,-0.523598
7,27.576444,11.907218,-0.567231
8,27.637821,11.870108,-0.523598
9,27.700211,11.834731,-0.479965
10,27.763590,11.801158,-0.479965
11,27.827906,11.769418,-0.436332
12,27.893106,11.739535,-0.436332
13,27.959137,11.711535,-0.392699
14,28.025946,11.685441,-0.349066
15,28.093473,11.661274,-0.349066
16,28.161667,11.639054,-0.305432
17,28.230469,11.618799,-0.261799
18,28.299826,11.600527,-0.261799
19,28.369675,11.584251,-0.218166
20,28.439966,11.569985,-0.174533
21,28.510636,11.557742,-0.174533
22,28.581626,11.547531,-0.130899
23,28.652881,11.539362,-0.087266
24,28.724344,11.533238,-0.087266
25,28.795951,11.529168,-0.043633
26,28.867643,11.527154,0.000000
27,28.796692,11.527101,0.000000
28,28.725000,11.525000,0.043633
