index,x,y,yaw
0,25.125000,12.625000,-0.086264
1,25.233100,12.615652,-0.096214
2,25.341036,12.605235,-0.114897
3,25.448649,12.592816,-0.140808
4,25.555774,12.577631,-0.172250
5,25.662244,12.559108,-0.207607
6,25.767892,12.536854,-0.245461
7,25.872556,12.510635,-0.284609
8,25.976087,12.480346,-0.324007
9,26.078359,12.445999,-0.362689
10,26.179280,12.407702,-0.399701
11,26.278805,12.365659,-0.434076
12,26.376942,12.320166,-0.464877
13,26.473766,12.271605,-0.491317
14,26.569411,12.220427,-0.512937
15,26.664058,12.167120,-0.529741
16,26.757906,12.112165,-0.542180
17,26.851152,12.055994,-0.550988
18,26.943965,11.998964,-0.556983
19,27.036478,11.941351,-0.560923
20,27.128793,11.883356,-0.563434
21,27.220980,11.825117,-0.564991
22,27.313088,11.766727,-0.565935
23,27.405148,11.708247,-0.566494
24,27.497178,11.649712,-0.566819
25,27.589192,11.591146,-0.567005
26,27.681197,11.532562,-0.567110
27,27.773195,11.473969,-0.567167
28,27.865191,11.415369,-0.567199
29,27.957185,11.356767,-0.567216
30,28.049178,11.298163,-0.567225
31,28.141170,11.239559,-0.567229
32,28.233160,11.180955,-0.567230
33,28.325148,11.122352,-0.567227
34,28.417132,11.063753,-0.567220
35,28.509106,11.005160,-0.567203
36,28.601062,10.946582,-0.567171
37,28.692983,10.888029,-0.567108
38,28.784841,10.829525,-0.566991
39,28.876586,10.771109,-0.566777
40,28.968133,10.712845,-0.566398
41,29.059353,10.654838,-0.565745
42,29.150047,10.597250,-0.564652
43,29.239931,10.540313,-0.562870
44,29.328621,10.484354,-0.560046
45,29.415639,10.429792,-0.555693
46,29.500449,10.377127,-0.549183
47,29.582536,10.326892,-0.539803
48,29.661533,10.279560,-0.526897
49,29.737368,10.235442,-0.510121
50,29.810323,10.194623,-0.489605
51,29.880944,10.156991,-0.465925
52,29.949884,10.122324,-0.439902
53,30.017771,10.090372,-0.412370
54,30.085126,10.060908,-0.384003
55,30.152340,10.033749,-0.355271
56,30.219683,10.008764,-0.326453
57,30.287321,9.985864,-0.297707
58,30.355345,9.964992,-0.269124
59,30.423793,9.946113,-0.240788
60,30.492668,9.929201,-0.212814
61,30.561948,9.914231,-0.185394
62,30.631598,9.901168,-0.158832
63,30.701576,9.889959,-0.133585
64,30.771834,9.880517,-0.110294
65,30.842322,9.872711,-0.089785
66,30.912992,9.866349,-0.073044
67,30.983795,9.861168,-0.061109
68,31.054684,9.856830,-0.054891
69,31.125617,9.852933,0.094839
70,31.087275,9.849286,0.096287
71,31.031109,9.843861,0.113946
72,30.967016,9.836526,0.136881
73,30.899500,9.827226,0.162389
74,30.830624,9.815942,0.189287
75,30.761354,9.802671,0.216939
76,30.692155,9.787419,0.244993
77,30.623268,9.770196,0.273262
78,30.554832,9.751016,0.301638
79,30.486941,9.729893,0.330071
80,30.419666,9.706844,0.358530
81,30.353068,9.681888,0.386999
82,30.287206,9.655046,0.415477
83,30.222133,9.626338,0.443961
84,30.157905,9.595790,0.472444
85,30.094572,9.563424,0.500932
86,30.032187,9.529267,0.529410
87,29.970800,9.493348,0.557897
88,29.910461,9.455695,0.586379
89,29.851218,9.416338,0.614867
90,29.793120,9.375310,0.643352
91,29.736215,9.332645,0.671839
92,29.680548,9.288376,0.700318
93,29.626165,9.242539,0.728802
94,29.573108,9.195173,0.757283
95,29.521422,9.146314,0.785771
96,29.471149,9.096003,0.814258
97,29.422329,9.044281,0.842738
98,29.375002,8.991189,0.871224
99,29.329206,8.936771,0.899706
100,29.284978,8.881071,0.928194
101,29.242355,8.824134,0.956675
102,29.201371,8.766006,0.985162
103,29.162059,8.706734,1.013645
104,29.124451,8.646367,1.042129
105,29.088577,8.584953,1.070610
106,29.054467,8.522543,1.099103
107,29.022149,8.459186,1.127578
108,28.991647,8.394934,1.156067
109,28.962988,8.329840,1.184552
110,28.936195,8.263956,1.213035
111,28.911289,8.197336,1.241522
112,28.888291,8.130033,1.270005
113,28.867219,8.062102,1.298485
114,28.848089,7.993599,1.326971
115,28.830919,7.924579,1.355452
116,28.815721,7.855098,1.383931
117,28.802508,7.785213,1.412401
118,28.791289,7.714979,1.440835
119,28.782072,7.644454,1.469173
120,28.774856,7.573695,1.497299
121,28.769633,7.502757,1.524957
122,28.766373,7.431696,1.551594
123,28.765007,7.360564,1.575957
124,28.765374,7.289406,1.595320
125,28.767120,7.218251,1.605403
126,28.769583,7.147101,1.609949
127,28.772370,7.075954,1.611974
128,28.775301,7.004808,1.612859
129,28.778296,6.933662,1.613158
130,28.781311,6.862517,1.613085
131,28.784322,6.791371,1.612574
132,28.787296,6.720225,1.611246
133,28.790175,6.649077,1.608238
134,28.792840,6.577929,1.601524
135,28.795027,6.506776,1.586691
136,28.796159,6.435616,1.564354
137,28.795700,6.364465,1.538638
138,28.793413,6.293361,1.511393
139,28.789190,6.222353,1.483458
140,28.782985,6.151495,1.455214
141,28.774783,6.080843,1.426849
142,28.764580,6.010453,1.398417
143,28.752380,5.940383,1.369945
144,28.738191,5.870689,1.341471
145,28.722023,5.801427,1.312991
146,28.703889,5.732654,1.284510
147,28.683804,5.664425,1.256024
148,28.661784,5.596796,1.227537
149,28.637847,5.529821,1.199050
150,28.612012,5.463555,1.170572
151,28.584300,5.398052,1.142084
152,28.554734,5.333365,1.113605
153,28.523338,5.269546,1.085124
154,28.490137,5.206647,1.056639
155,28.455158,5.144719,1.028147
156,28.418430,5.083813,0.999664
157,28.379981,5.023977,0.971187
158,28.339845,4.965261,0.942698
159,28.298052,4.907711,0.914214
160,28.254637,4.851375,0.885729
161,28.209635,4.796299,0.857250
162,28.163083,4.742526,0.828768
163,28.115019,4.690101,0.800280
164,28.065481,4.639066,0.771794
165,28.014510,4.589463,0.743307
166,27.962146,4.541332,0.714820
167,27.908432,4.494711,0.686337
168,27.853413,4.449639,0.657853
169,27.797132,4.406153,0.629370
170,27.739636,4.364287,0.600889
171,27.680971,4.324075,0.572405
172,27.621184,4.285551,0.543922
173,27.560325,4.248745,0.515437
174,27.498442,4.213687,0.486952
175,27.435585,4.180406,0.458465
176,27.371806,4.148928,0.429978
177,27.307156,4.119280,0.401497
178,27.241688,4.091485,0.373019
179,27.175455,4.065565,0.344559
180,27.108511,4.041541,0.316150
181,27.040911,4.019427,0.287871
182,26.972711,3.999234,0.259890
183,26.903969,3.980955,0.232577
184,26.834747,3.964559,0.206718
185,26.765115,3.949956,0.184059
186,26.695158,3.936932,0.168465
187,26.625000,3.925000,0.130900
