index,x,y,yaw
0,18.225000,12.975000,0.610865
1,18.311399,13.034159,0.589923
2,18.399018,13.091495,0.568980
3,18.487818,13.146984,0.548037
4,18.577760,13.200601,0.527095
5,18.668806,13.252323,0.506152
6,18.760915,13.302127,0.485209
7,18.854046,13.349991,0.464267
8,18.948160,13.395894,0.443324
9,19.043214,13.439817,0.422381
10,19.139167,13.481739,0.401439
11,19.235977,13.521643,0.380496
12,19.333601,13.559510,0.359554
13,19.431997,13.595325,0.338611
14,19.531121,13.629072,0.317668
15,19.630930,13.660735,0.296726
16,19.731381,13.690302,0.275783
17,19.832428,13.717758,0.254840
18,19.934029,13.743092,0.233898
19,20.036137,13.766293,0.212955
20,20.138710,13.787351,0.192012
21,20.241700,13.806256,0.171070
22,20.345064,13.823001,0.150127
23,20.448756,13.837577,0.129184
24,20.552730,13.849978,0.108242
25,20.656941,13.860199,0.087299
26,20.761344,13.868236,0.066356
27,20.865892,13.874085,0.045414
28,20.970539,13.877743,0.024471
29,21.075240,13.879209,0.003528
30,21.179949,13.878482,-0.017414
31,21.284620,13.875562,-0.038357
32,21.389206,13.870452,-0.059299
33,21.493663,13.863152,-0.080242
34,21.597944,13.853666,-0.101185
35,21.702003,13.841999,-0.122127
36,21.805795,13.828155,-0.143070
37,21.909274,13.812140,-0.164013
38,22.012396,13.793962,-0.184955
39,22.115114,13.773629,-0.205898
40,22.217384,13.751149,-0.226841
41,22.319160,13.726532,-0.247783
42,22.420399,13.699790,-0.268726
43,22.521278,13.671712,-0.271665
44,22.622151,13.643614,-0.271665
45,22.723024,13.615516,-0.271665
46,22.823897,13.587417,-0.271665
47,22.924549,13.558544,-0.289621
48,23.024580,13.527590,-0.310564
49,23.123942,13.494549,-0.331507
50,23.222590,13.459434,-0.352449
51,23.320481,13.422261,-0.373392
52,23.417572,13.383046,-0.394335
53,23.513820,13.341806,-0.415277
54,23.609184,13.298560,-0.436220
55,23.703621,13.253326,-0.457162
56,23.797090,13.206125,-0.478105
57,23.889551,13.156977,-0.499048
58,23.980961,13.105903,-0.519990
59,24.071283,13.052926,-0.540933
60,24.160475,12.998070,-0.561876
61,24.248498,12.941357,-0.582818
62,24.335315,12.882814,-0.603761
63,24.420887,12.822466,-0.624704
64,24.505176,12.760339,-0.645646
65,24.588146,12.696460,-0.666589
66,24.669760,12.630858,-0.687532
67,24.749982,12.563561,-0.708474
68,24.828777,12.494599,-0.729417
69,24.906111,12.424002,-0.750360
70,24.981950,12.351801,-0.771302
71,25.056260,12.278028,-0.792245
72,25.129009,12.202715,-0.813187
73,25.200164,12.125895,-0.834130
74,25.269696,12.047601,-0.855073
75,25.337572,11.967869,-0.876015
76,25.403764,11.886733,-0.896958
77,25.468243,11.804228,-0.917901
78,25.530979,11.720392,-0.938843
79,25.591946,11.635260,-0.959786
80,25.651117,11.548870,-0.980729
81,25.708466,11.461259,-1.001671
82,25.763968,11.372467,-1.022614
83,25.817598,11.282533,-1.043557
84,25.869333,11.191494,-1.064499
85,25.919151,11.099393,-1.085442
86,25.967028,11.006268,-1.106385
87,26.012945,10.912161,-1.127327
88,26.056881,10.817114,-1.148270
89,26.098818,10.721167,-1.169213
90,26.138735,10.624363,-1.190155
91,26.176617,10.526744,-1.211098
92,26.212446,10.428353,-1.232040
93,26.246207,10.329234,-1.252983
94,26.277885,10.229429,-1.273926
95,26.307466,10.128983,-1.294868
96,26.334937,10.027939,-1.315811
97,26.360286,9.926343,-1.336754
98,26.383502,9.824237,-1.357696
99,26.404575,9.721668,-1.378639
100,26.423495,9.618680,-1.399582
101,26.440254,9.515319,-1.420524
102,26.454845,9.411629,-1.441467
103,26.467262,9.307657,-1.462410
104,26.477498,9.203447,-1.483352
105,26.485550,9.099046,-1.504295
106,26.490254,9.028424,-1.532688
107,26.492950,8.957695,-1.561008
108,26.493643,8.886915,-1.589203
109,26.492340,8.816138,-1.617185
110,26.489057,8.745417,-1.644824
111,26.483820,8.674800,-1.671920
112,26.476670,8.604334,-1.698190
113,26.467668,8.534054,-1.723258
114,26.456902,8.463991,-1.746653
115,26.444494,8.394161,-1.767847
116,26.430600,8.324567,-1.786333
117,26.415412,8.255196,-1.801744
118,26.399147,8.186025,-1.813969
119,26.382028,8.117018,-1.823199
120,26.364264,8.048141,-1.829858
121,26.346036,7.979361,-1.834469
122,26.327487,7.910647,-1.837549
123,26.308722,7.841980,-1.839542
124,26.289819,7.773344,-1.840796
125,26.270829,7.704726,-1.841567
126,26.251785,7.636120,-1.842030
127,26.232708,7.567522,-1.842303
128,26.213613,7.498928,-1.842461
129,26.194507,7.430336,-1.842551
130,26.175394,7.361745,-1.842600
131,26.156278,7.293156,-1.842626
132,26.137160,7.224567,-1.842637
133,26.118042,7.155978,-1.842635
134,26.098923,7.087389,-1.842621
135,26.079806,7.018799,-1.842587
136,26.060691,6.950210,-1.842521
