index,x,y,yaw
0,26.375000,7.125000,1.003564
1,26.412839,7.186328,1.047198
2,26.448896,7.248721,1.047198
3,26.483136,7.312129,1.090831
4,26.515537,7.376495,1.134464
5,26.546070,7.441770,1.134464
6,26.574707,7.507897,1.178097
7,26.601429,7.574822,1.221731
8,26.626209,7.642490,1.221731
9,26.649027,7.710843,1.265364
10,26.669867,7.779826,1.308997
11,26.688712,7.849381,1.308997
12,26.705542,7.919450,1.352630
13,26.720346,7.989974,1.396263
14,26.733112,8.060897,1.396263
15,26.743827,8.132158,1.439897
16,26.752485,8.203698,1.483530
17,26.759076,8.275458,1.483530
18,26.763599,8.347378,1.527163
19,26.766245,8.419393,1.527163
20,26.769986,8.491358,1.483530
21,26.775797,8.563184,1.483530
22,26.783677,8.634815,1.439897
23,26.793619,8.706188,1.396263
24,26.805613,8.777245,1.396263
25,26.819651,8.847926,1.352630
26,26.835718,8.918174,1.352630
27,26.853806,8.987929,1.308997
28,26.873896,9.057134,1.265364
29,26.895972,9.125732,1.265364
30,26.920014,9.193664,1.221731
31,26.946006,9.260876,1.178097
32,26.973923,9.327310,1.178097
33,27.003745,9.392912,1.134464
34,27.035447,9.457627,1.090831
35,27.068998,9.521402,1.090831
36,27.104374,9.584184,1.047198
37,27.141544,9.645919,1.003564
38,27.180478,9.706558,1.003564
39,27.221143,9.766049,0.959931
40,27.263507,9.824343,0.916298
41,27.307535,9.881393,0.916298
42,27.353186,9.937149,0.872665
43,27.400428,9.991567,0.829031
44,27.449216,10.044601,0.829031
45,27.456034,10.052326,0.785398
46,27.404270,10.002191,0.741765
47,27.351084,9.953570,0.741765
48,27.296515,9.906502,0.698132
49,27.240616,9.861025,0.654499
50,27.183429,9.817180,0.654499
51,27.125000,9.775000,0.610865
