index,x,y,yaw
0,21.975000,7.725000,0.392699
1,22.041458,7.751421,0.349066
2,22.108646,7.775930,0.349066
3,22.176506,7.798507,0.305433
4,22.244985,7.819134,0.261799
5,22.313974,7.837987,0.261799
6,22.382669,7.857880,0.305433
7,22.450768,7.879730,0.305433
8,22.518213,7.903519,0.349066
9,22.584951,7.929227,0.392699
10,22.650925,7.956834,0.392699
11,22.716083,7.986316,0.436332
12,22.780371,8.017651,0.479966
13,22.843737,8.050811,0.479966
14,22.906128,8.085771,0.523599
15,22.967493,8.122500,0.567232
16,23.027782,8.160970,0.567232
17,22.975000,8.125000,0.610865
