index,x,y,yaw
0,26.275000,6.375000,1.265364
1,26.254590,6.306901,1.308997
2,26.236121,6.238249,1.308997
3,26.219614,6.169100,1.352630
4,26.205079,6.099509,1.396263
5,26.192530,6.029533,1.396263
6,26.181974,5.959229,1.439897
7,26.173423,5.888653,1.483530
8,26.166880,5.817862,1.483530
9,26.162354,5.746914,1.527163
10,26.159848,5.675866,1.570796
11,26.159360,5.604775,1.570796
12,26.160898,5.533700,1.614430
13,26.164454,5.462697,1.614430
14,26.169626,5.391791,1.658063
15,26.173398,5.320799,1.614430
16,26.175150,5.249728,1.570796
17,26.174881,5.178636,1.570796
18,26.172590,5.107581,1.527163
19,26.168280,5.036619,1.483530
20,26.161954,4.965809,1.483530
21,26.153620,4.895207,1.439897
22,26.143277,4.824871,1.396263
23,26.130942,4.754857,1.396263
24,26.116620,4.685222,1.352630
25,26.100324,4.616023,1.308997
26,26.082065,4.547315,1.308997
27,26.061863,4.479154,1.265364
28,26.039728,4.411595,1.221731
29,26.015683,4.344693,1.221731
30,25.989743,4.278501,1.178097
31,25.961933,4.213074,1.134464
32,25.932276,4.148464,1.134464
33,25.900791,4.084723,1.090831
34,25.867505,4.021904,1.090831
35,25.832450,3.960056,1.047198
36,25.795649,3.899229,1.003564
37,25.757132,3.839475,1.003564
38,25.716935,3.780839,0.959931
39,25.675083,3.723370,0.916298
40,25.631617,3.667114,0.916298
41,25.586568,3.612117,0.872665
42,25.539972,3.558423,0.829031
43,25.491869,3.506076,0.829031
44,25.442298,3.455118,0.785398
45,25.391297,3.405589,0.741765
46,25.338909,3.357531,0.741765
47,25.341426,3.359045,0.698132
48,25.396462,3.404047,0.654499
49,25.452755,3.447467,0.654499
50,25.510260,3.489267,0.610865
51,25.568930,3.529417,0.567232
52,25.628717,3.567881,0.567232
53,25.689576,3.604630,0.523599
54,25.751453,3.639634,0.479966
55,25.814301,3.672864,0.479966
56,25.878067,3.704294,0.436332
57,25.942704,3.733898,0.436332
58,26.008155,3.761652,0.392699
59,26.074369,3.787534,0.349066
60,26.141291,3.811522,0.349066
61,26.208869,3.833598,0.305433
62,26.277048,3.853744,0.261799
63,26.345771,3.871943,0.261799
64,26.414985,3.888180,0.218166
65,26.484632,3.902443,0.174533
66,26.554654,3.914719,0.174533
67,26.625000,3.925000,0.130900
